Nid,Original ID,Name,Project acronym,Visual,Project description,Results,Coordinators,Partners,Project address(es),Project postal code(s),Project town(s),Project country(ies),Project location latitude,Project location longitude,Link to a video,Timeframe start,Timeframe end,Project webpage,Related links,EU Budget MFF heading,Programme name,Funding area,EC’s priorities,EU Budget contribution,Total project budget,Author,Language
7740,3998,Renovated rail line to benefit citizens of south-west Poland,,,<p>The recent revitalisation of a railway line between the Polish towns of Kluczbork and Ostrzeszów – made possible thanks to the EU’s Cohesion Fund – will bring long term benefits to citizens and commuters living and working in the region by strengthening sustainable transport links and making rail travel more attractive.</p>,"This major project, which involved the renovation and restoration of a total of 60 km of railway line, consisted of track replacements and structural engineering, the building of new platforms and control command systems and the construction of new vehicular and pedestrian crossings. Elements of the overhead contact line have also been replaced. The work will help to increase rail capacity along this stretch of line especially during peak rush hours, reduce journey times and increase the comfort of commuters.",Ministerstwo Infrastruktury i Rozwoju,,"PKP Polskie Linie Kolejowe, ul. Targowa 74, Spółka Akcyjna",03-734,Warsaw,PL,51.40672302,17.91850214,,1388530800 to 1420066800,1388530800 to 1420066800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/renovated-rail-line-to-benefit-citizens-of-south-west-poland"">Renovated rail line to benefit citizens of south-west Poland</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion for growth and employment,Environment & climate;Transport,"Jobs, Growth and Investment",37790982,65574652,DG REGIO,English
7741,3999,Increased comfort and capacity for Warsaw’s rail commuters,,,<p>The recent purchase of new passenger rail transport equipment – made possible thanks to the EU’s Cohesion Fund – will bring long term benefits to citizens and commuters living and working in the Warsaw metropolitan area. The project will help to strengthen transport links between the Polish capital and outlying suburbs and regions within commuting distance.</p>,"The project’s key long term achievement will be improving transport along the busiest sections of the Warsaw metropolitan area rail network, in particular during rush hour. A total of 20 double-deck intermediate coaches, two double-deck control coaches and two electric locomotives have been successfully purchased, and will now be strategically deployed. By increasing the attractiveness and accessibility of rail as a means of getting to work, the project will help to reduce congestion on the road and contribute towards increased use of greener and more sustainable modes of transport.",Ministerstwo Infrastruktury i Rozwoju,,"Koleje Mazowieckie (KM)., ul. Lubelska 26",03-802,Warsaw,PL,52.250637,21.052171,,1388530800 to 1420066800,1388530800 to 1420066800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/increased-comfort-and-capacity-for-warsaws-rail-commuters"">InfoRegio</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",Cohesion for growth and employment,Transport,"Jobs, Growth and Investment",41050216,51316313,DG REGIO,English
7742,4000,Updating the ‘Made in Italy’ brand for a global market,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/updating_the_made_in_italy_brand_for_a_global_market.jpg,"<p>To help long-established sectors in the Basilicata Region become more globally competitive, the EU-funded Mapping Basilicata project refreshed old-fashioned processes with innovative ideas, designs and technology.</p>","In an increasingly globalised world, traditional manufacturing companies often struggle. Italy, a country with a proud tradition of SMEs providing an array of goods and services, is no exception as many traditional SMEs struggle to remain globally competitive. To put a halt to this trend, the EU-supported Mapping Basilicata project is working to revitalise the ‘Made in Italy’ brand, particularly as it applies to the food, furniture and fashion industries. As a result, Italian SMEs in the southern Basilicata Region are better positioned to not only stay in business.",Dipartimento Programmazione e Finanze - Ufficio Autorità di Gestione dei Programmi Operativi FESR Basilicata,,"The Upholstered Furniture District, Via Sette Dolori",75100,Matera,IT,40.6398,15.7851208,,1356994800 to 1420066800,1356994800 to 1420066800,http://www.distrettomobileimbottito.com,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/updating-the-made-in-italy-brand-for-a-global-market"">Updating the ‘Made in Italy’ brand for a global market</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion for growth and employment;European Structural and Investment Funds,Research & innovation;Business,"Jobs, Growth and Investment",630000,1260000,DG REGIO,English
7743,4001,Extracting value-added ingredients from wine waste,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/extracting-value-added-ingredients-from-wine-waste_0.jpg,"<p>Innovative extraction techniques for isolating useful bioactive compounds from wine waste and turning them into value-added ingredients will benefit local winemakers, food producers and the environment.</p>","Wine is not just great for drinking it would appear; bioactive compounds created during production can be turned into valuable ingredients for a whole range of sectors. Scientists at the University of Zagreb’s Faculty of Food Technology and Biotechnology have developed novel ways of extracting these compounds, which can be used as raw materials or semi-finished products in further processing – in functional foods, for example, or pharmaceuticals and cosmetics. One successful project trial demonstrated how chocolates and pralines can be enriched with bioactive compounds isolated from the remainders of grapes after being pressed. After optimising an experimental spray-drying method, specific quantities of plant extract powder have been produced and used as ingredients to enrich chocolates and pralines, improving their colour, smell, texture and taste. The project has also strengthened the scientific and research capacity of the Faculty through the acquisition of new equipment and knowledge.",Ministry of regional development and EU Funds,,"Faculty of Food Technology and Biotechnology, University of Zagreb, Pierottijeva 6",-,Zagreb,HR,45.807386,15.964071,,1388530800 to 1451602800,1388530800 to 1451602800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/extracting-value-added-ingredients-from-wine-waste"">InfoRegio</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",Cohesion for growth and employment,Research & innovation,"Jobs, Growth and Investment",391885,556312,DG REGIO,English
7744,4002,A collective approach to transparency,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/a-collective-approach-to-transparency_0.jpg,"<p>Although European citizens are benefiting from the EU’s various funding initiatives on a daily basis, whenever public funds are involved public scrutiny tends to intensify – and Lithuania is no exception. Eight organisations founded FIREFLIES, which encourages EU-funded projects to incorporate transparency into their public reporting procedures.</p>","According to at least one public opinion poll, less than half of Lithuania’s population is satisfied with the transparency of how EU funds are allocated. In fact, the issue of transparency – and the public’s misperception of it – consistently ranks as one of the biggest challenges for EU-funded projects.  To reverse this trend, the European Social Fund-backed FIREFLIES project took the issue of transparency out of the hands of EU authorities and placed it into the hands of the projects themselves – and citizens.",Ministry of Finance of the Republic of Lithuania,,"Ministry of Finance of the Republic of Lithuania, Lukiškių str. 2",1108,Vilnius,LT,54.691807,25.268986,,1356994800 to 1420066800,1356994800 to 1420066800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/a-collective-approach-to-transparency"">A collective approach to transparency</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion for growth and employment,Citizens and social dialogue,"Jobs, Growth and Investment",50042,58873,DG REGIO,English
7745,4003,Helping the social economy reach its full potential,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/helping-the-social-economy-reach-its-full-potential_0.jpg,"<p>In between the public and private sectors lies a third sector: the so-called social economy. This is where the public and private sectors are supposed to meet to collaborate for social good, often via cooperatives, non-profit organisations, social enterprises and charities. But if the right systems are not in place, the social economy can fall far short of its potential.</p>","To fill this gap and to enhance the impact that non-profits, charities and other social enterprises had on the Malopolska Region in Poland, the European Social Fund-supported Academy of Social Economy Development Project (ASEDP) helped centralise the cooperation between these private entities and the public sector. As the Malopolska Region generally lacked a true social economy, ASEDP’s primary goal was to create one. It focused its attention on building a social economy capable of supporting at risk individuals.","Ministry of Economic Development, Department of European Social Fund",,"Regional Centre for Social Policy in Krakow, 32 Piastowska St.",30-070,Krakow,PL,52.2282219,21.0218469,,1199142000 to 1420066800,1199142000 to 1420066800,http://www.rops.krakow.pl,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/helping-the-social-economy-reach-its-full-potential"">Helping the social economy reach its full potential</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,European Structural and Investment Funds,Investment for growth;Business;Citizens and social dialogue,"Jobs, Growth and Investment",2907901,3421060,DG REGIO,English
7746,4004,Rocking European social policy,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/rocking_european_social_policy.jpg,<p>What do you get when you combine European social policy with a “Battle of the Bands” contest? The European Social Sound (ESS) project is an innovative initiative to spread information about EU funding opportunities to a new generation of Europeans.</p>,"The objective was simple: to develop new strategies for communicating to a young population that is typically disengaged with the happenings and opportunities provided by the European Union. Instead of offering the typical meetings, seminars and workshops, the ESS project received money to package this information into a live music concert paired with dynamic multi-media presentations and an interactive social media campaign. The end result was a revamped image of EU institutions as a modern, involved entity with a vision in line with the next generation of European leaders.",Umbria ESF Managing Authority,,"ESF Communications Office – Umbria Region, Via Mario Angeloni 61",6124,Perugia,IT,43.1055336,12.3781208,,1388530800 to 1420066800,1388530800 to 1420066800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/rocking-european-social-policy"">Rocking European social policy</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,European Structural and Investment Funds,Investment for growth,"Jobs, Growth and Investment",100000,100000,DG REGIO,English
7747,4005,Working together to increase employability,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/working_together_to_increase_employability.jpg,"<p>With unemployment levels at an all-time high in parts of Spain, ‘at risk’ individuals are being hit particularly hard. To mitigate this effect, the EU-funded Vives Emplea project is equipping them with the tools and skills they need to successfully secure employment.</p>","The economic crisis has hit Spain hard, especially for those who already face the challenges of poverty and social exclusion. As this population tends to lack the social and educational skills needed for basic employment, they are at higher risk of seeing their situation go from bad to worse. Knowing that poverty and social exclusion are influenced by such factors as employment, education, housing and health, the Vives Emplea project, has responded with a model that increases the employability of that portion of the population most at risk of social exclusion.",Unidad Administradora del Fondo Social Europeo (UAFSE),,"Action Against Hunger, Calle Duque de Sevilla 3",28002,Madrid,ES,40.4139056,-3.6743363,,1388530800 to 1546297200,1388530800 to 1546297200,https://www.accioncontraelhambre.org/es,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/working-together-to-increase-employability"">Working together to increase employability</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,European Structural and Investment Funds,Employment;Education & training;Investment for growth;Citizens and social dialogue,"Jobs, Growth and Investment",5837473,8400776,DG REGIO,English
7748,4006,Wealth from waste in Northern and Artic marine regions,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/wealth_from_waste_in_northern_and_artic_marine_regions.jpg,<p>Local enterprises in remote northern coastal economies create smart new industries from plastic marine waste to revive economies and keep the environment clean.</p>,"The stunning coastlines of the Northern Periphery & Arctic region have traditionally supported strong fishing communities. But times are changing. The industry is on the decline, while plastic fishing litter threatens wildlife and fishing boats. The EU-funded Circular Ocean project has stepped in with support to develop smart ‘green’ industries from old plastic fishing nets and ropes. This represents 10% of marine waste and is a potential resource for many industries, and can be incorporated into products such as clothing and skateboards.","Joint Secretariat (Northern Periphery and Arctic Programme, 2014- 2020)",,,,,DK;NO;UK;IE,55.6776768,12.5966212,,1420066800 to 1514761200,1420066800 to 1514761200,http://www.circularocean.eu/,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/wealth-from-waste-in-northern-and-artic-marine-regions"">InfoRegio Project File</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion","Economic, social and territorial cohesion",Research & innovation;Environment & climate,"Jobs, Growth and Investment",921176,1472185,DG REGIO,English
7749,4007,A cure for the medical research-to-market gap,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/a-cure-for-the-medical-research-to-market-gap_0.jpg,"<p>To tighten up the medical value chain, the EU-funded InfectoGnostics Research Campus Jena project brings together science, industry und clinics in Germany’s Thuringia region. The result is more devices for diagnostic testing being brought to market quicker.</p>","The key to stopping the spread of new diseases is a fast and reliable diagnosis and quick understanding of their possible resistance to current antibiotics. Unfortunately, this process is too often derailed by a gap between what’s happening in the lab and what’s being brought onto the market. The ERDF-funded InfectoGnostics Research Campus JENA project has a cure.",EFRD Adminstration,,"Infectognostics Research Campus, Philosphenweg 7, Centre for Applied Research",D-07743,Jena,DE,50.9579617,11.0450991,,1356994800 to 1577833200,1356994800 to 1577833200,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/a-cure-for-the-medical-research-to-market-gap"">A cure for the medical research-to-market gap</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion for growth and employment,Research & innovation,"Jobs, Growth and Investment",7902767,27101912,DG REGIO,English
7750,4008,A simpler approach to managing R&D funding,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/a-simpler-approach-to-managing-r-d-funding_0.jpg,"<p>To encourage more companies in Northern Ireland to take advantage of available EU-funding for R&D activities, European Regional Development Fund administrators are simplifying the typically complex reporting process.</p>","Northern Ireland tends to lag behind other European regions in terms of R&D expenditure and the number of companies involved in innovative activities. Although the European Regional Development Fund (ERDF) is available to support such activity, some potential beneficiaries still find the administrative and regulatory requirements too complex. To change this perception and encourage more companies in the region to take advantage of the Fund for R&D purposes, the Northern Ireland ERDF Managing Authority is taking action.",Department for the Economy for Northern Ireland,,"Department for the Economy for Northern Ireland, Netherleigh, Massey AvenueBelfast, Northern Ireland",,Northern Ireland,UK,54.6042196,-5.8468025,,1388530800 to 1420066800,1388530800 to 1420066800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/a-simpler-approach-to-managing-r-d-funding"">A simpler approach to managing R&D funding </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,"Economic, social and territorial cohesion",Development,"Jobs, Growth and Investment",20000,40000,DG REGIO,English
7751,4009,A blueprint for empowering residents and revitalising Central Baltic neighbourhoods,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/a-blueprint-for-empowering-residents-and-revitalising-central-baltic-neighbourhoods.jpg,"<p>CADDIES developed methods and tools that communties can use to help residents collaborate and improve their neighbourhoods. Residents in Finland, Sweden and Latvia have benefited from the project’s grassroots work to make their neighbourhoods more attractive and inclusive.</p>","The barriers include inadequately defined roles for voluntary work in local development or weak connections between residents and municipal authorities. The cross-border project CADDIES addressed such challenges by piloting initiatives in six neighbourhoods across cities in Finland, Sweden and Latvia. The project deployed tools to motivate residents to volunteer and collaborate in improving their own houses, blocks or neighbourhoods in sustainable ways. They aimed to improve their living conditions and develop more inclusive communties.",Interreg Central Baltic,,,,,SE;FI;LV,58.587745000000;60.165100000000;56.932839000000,16.192421000000;24.931538000000;24.162137000000,,1230764400 to 1293836400,1230764400 to 1293836400,http://centralbaltic.eu/,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/a-blueprint-for-empowering-residents-and-revitalising-central-baltic-neighbourhoods"">A blueprint for empowering residents and revitalising Central Baltic neighbourhoods</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training;Investment for growth;Citizens and social dialogue,"Jobs, Growth and Investment",958450,1240190,DG REGIO,English
7753,4011,"EI – regional energy efficiency push boosts renewables sector, creates jobs",,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/ei-regional-energy-efficiency-push-boosts-renewables-sector-creates-jobs.jpg,"<p>A cross-border project in Italy and Switzerland relied on citizen support to identify cost-efficient ways of achieving energy efficiencies, to the benefit of local communities.</p>","The key aim of this project was to support local public administrations – and to involve citizens – in reducing energy consumption and promoting the use of renewable energy sources. Tools applicable to both Italian and Swiss regions were identified, as were methods for raising awareness among citizens. Measures were implemented in more than 50 municipalities in the Italian region of Piedmont. For example, public lighting efficiency improvement projects were introduced in seven municipalities, while the replacement of boilers in public buildings was carried out in five.","Regione Lombardia - Central Directorate for External, International, Territorial and Communication Relations",,,,,CH;IT,45.4654219,9.1859243,,1325372400 to 1388530800,1325372400 to 1388530800,http://www.spesconsulting.com,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/ei-regional-energy-efficiency-push-boosts-renewables-sector-creates-jobs"">EI – regional energy efficiency push boosts renewables sector  creates jobs </a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Investment for growth;Environment & climate,"Jobs, Growth and Investment",507675,881820,DG REGIO,English
7755,4013,Motorway construction in north-west Slovakia to boost economic development,,,"<p>An EU-funded project is building a 12.3 km section of the D3 motorway connecting Svrčinovec to Skalité, contributing to the economic development of north-west Slovakia.</p>","The construction of the Svrčinovec to Skalité section is part of the EU’s TEN-T policy to develop a Baltic–Adriatic core transport network. It seeks to create a new high-capacity motorway connection between Slovakia and Poland and also contribute to the economic development of adjacent regions. The D3 motorway runs through a geologically difficult part of the Slovakian district of Čadca, located in the north-west part Slovakia in the Žilina region. The D3 starts at the motorway junction with the D1 and ends near the municipality of Skalité,  and connects to the S69 motorway.",MDVRR SR,,"NDS, Mlynské Nivy 45",821 09,Bratislava,SK,49.50641291,18.84626125,,1356994800 to 1451602800,1356994800 to 1451602800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/motorway-construction-in-north-west-slovakia-to-boost-economic-development"">Motorway construction in north-west Slovakia to boost economic development</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion Fund,Investment for growth;Environment & climate;Transport,"Jobs, Growth and Investment",130362272,155608136,DG REGIO,English
7756,4014,Ring road helps to ease traffic congestion around Prague and reduce travel time,,,"<p>An EU-funded project to construct a 8.34 km section of new four-lane motorway as part of Prague’s ring road, diverts traffic from the Czech Republic’s capital, helping to increase safety and reduce travel time, accidents and pollution.</p>","Peak-hour driving can be a nightmare for drivers in and around major cities in Europe. Prague is no exception. Efforts are underway to redirect traffic and lighten the loads, especially during popular commuting times, as part of wider plans to promote alternative transport and improve the urban environment. An EU-supported project constructed an 8.34 km section of a new four-lane motorway, one of 11 sections of the Prague Ring Road. The ring road helps shift traffic from overloaded routes around the city, increasing traffic safety and reducing travel time, congestion, accidents and pollution.","Ministerstvo dopravy ČR, Odbor fondů EU",,"Ředitelství silnic a dálnic ČR, Na Pankráci 546/56",140 00,Praha 4,CZ,49.97939602,14.45269604,,1167606000 to 1356994800,1167606000 to 1356994800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/ring-road-helps-to-ease-traffic-congestion-around-prague-and-reduce-travel-time"">Ring road helps to ease traffic congestion around Prague and reduce travel time</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion Fund,Environment & climate;Transport,"Jobs, Growth and Investment",145503322,294073835,DG REGIO,English
7757,4015,Italy and France are working together on vector control through the REDLAV project,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/litalie-et-la-france-sunissent-dans-la-lutte-antivectorielle-autour-du-projet-redlav.jpg,"<p>Tuscany, Liguria, Sardinia (Italy) and Corsica (France) are coordinating their efforts to control the spread of mosquitoes and other potential vectors of disease. By uniting around the REDLAV project, the four regions are able to exchange good practices, share their resources and methods, and promote institutional cohesion on the theme of vector control. These efforts contribute to structuring the management of this issue on a cross-border scale. In previous years, each region has pursued its own control policy. They are now benefiting from the use of a common strategic approach.</p>","The four regions involved in the project have formed a network to help develop a strategy and common practices for mosquito and vector control.  The initiatives have been implemented by the departmental councils of Corse-du-Sud and Haute-Corse, the Province of Oristano, the L2 Health Agency in Lucca and the Experimental Zooprophylactic Institute of Imperia.",Regione Toscana - Direzione Generale della Presidenza - Settore Attività Internazionali,,"Département de Corse du sud - service Lutte Anti-Vectorielle et Démoustication, Hôtel du Département, Palais Lantivy BP. 414;",20183;,AJACCIO Cedex;,FR;IT,41.919617,8.736285,,1262300400 to 1356994800,1262300400 to 1356994800,http://www.cg-corsedusud.fr,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/litalie-et-la-france-sunissent-dans-la-lutte-antivectorielle-autour-du-projet-redlav"">Italy and France are working together on vector control through the REDLAV project</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Investment for growth;Citizens and social dialogue,"Jobs, Growth and Investment",1014162,1352217,DG REGIO,English
7758,4016,Integrated information system for mobility proposed by 3i+,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/3i-propose-un-systeme-integre-dinformation-pour-la-mobilite.jpg,"<p>3i+ is a tool for collecting and disseminating information on mobility within the programme's four regions (Tuscany, Sardinia and Liguria (Italy) and Corsica (France)). This data is accessible during the three phases of a given journey: planning, travel and arrival, by both public and private transport. Citizens can use online dissemination tools (website, app) to check road conditions and real-time parking space availability in the cross-border zone. 3i+ also optimises the use of local transport networks.</p>","Thanks to the 3i+ mobility information system, citizens are able to optimise their trips within the Italy-Maritime France area of cooperation. They can use a journey planner, real-time information on road networks and inner-city traffic, as well as geo-location services for finding strategic locations (parking spaces, transport hubs etc.). All these services can be consulted online (via website or app). The involvement of all the relevant collectivities has facilitated the integration of data and the synergy between mobility information systems made available to users.",Regione Toscana - Direzione Generale della Presidenza- Settore Attività Internazionali,,"Area di coordinamento ""Mobilità e Infrastrutture"", PAL B - VIA DI NOVOLI 26;",50127;,Florence;Ajaccio,IT;FR,43.793639000000;41.919987000000,11.222563000000;8.738108000000,,1293836400 to 1388530800,1293836400 to 1388530800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/3i+-propose-un-systeme-integre-dinformation-pour-la-mobilite"">Integrated information system for mobility proposed by 3i+.</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",Cohesion for growth and employment,Research & innovation;Investment for growth;Transport,"Jobs, Growth and Investment",4500000,6000000,DG REGIO,English
7759,4017,Joint Contact Centre to boost collaboration between Czech and Slovak police forces,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/joint-contact-centre-to-boost-collaboration-between-czech-and-slovak-police-forces-in-crisis-management.jpg,<p>This joint contact centre aims to improve security and living conditions in the Czech-Slovak border area through training and coordinated responses to trans-border emergencies.</p>,"Police cooperation in border areas is vital to manage the increasing flow of goods and people in Europe, and to tackle trans-border emergencies. A Joint Contact Centre has been created so that rescue services in South Moravia (Czech Republic) and Trnava (Slovakia) can better coordinate their responses in order to improve security and living conditions in the whole region.",Ministry of Agricultural and Rural Development of the Slovak Republic,,,,,CZ;SK,48.84158,17.127442,,1293836400 to 1325372400,1293836400 to 1325372400,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/joint-contact-centre-to-boost-collaboration-between-czech-and-slovak-police-forces-in-crisis-management"">Joint Contact Centre to boost collaboration between Czech and Slovak police forces in crisis management</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",Cohesion for growth and employment,Investment for growth;Stability & security,"Jobs, Growth and Investment",335570,394789,DG REGIO,English
7760,4018,"Upgrades to Continental Mabor factory mean more jobs, increased exports.",,,"<p>The EU-funded “Continental Mabor: Route 17” project is an investment to expand and upgrade the company’s Lousado, Portugal plant to produce ultra-high performance tyres. The aim is to increase the plant’s production capacity and benefit the Norte region through an increase in exports and jobs.</p>","To help ensure the competitiveness of the Continental Mabor tyre company, this project is investing in new technologies and innovative processes for the manufacturing of high-added value, Ultra High Performance (UHP) tyres. Under the project, the existing Continental Mabor facilities and tyre manufacturing processes are to be converted and expanded. As a result the Vila Nova de Famalicão (Lousado) plant will have an increase in capacity to produce more complex, high performance products.",Programa Operacional Factores de Competitividade (COMPETE) - Comissão Directiva,,"Continental Mabor – Indústria de Pneus, S.A, Rua de Adelino Leitão 330, Vila Nova de Famalicão",4760-606,Lousado,PT,41.4111259,-8.5237319,,1293836400 to 1577833200,1293836400 to 1577833200,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/upgrades-to-continental-mabor-factory-mean-more-jobs-increased-exports"">Upgrades to Continental Mabor factory mean more jobs increased exports.</a>;<a href=""http://www.pofc.qren.pt/"">Compete</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion for growth and employment,Research & innovation;Business,"Jobs, Growth and Investment",15438136,82936636,DG REGIO,English
7761,4019,New motorway means a more connected Slovenia,,,"<p>The Motorway A4: Slivnica – Gruškovje: Draženci – International Border Crossing Gruškovje project is building 13 km of new motorway in Slovenia’s Vzhodna Slovenija region, resulting in reduced congestion, a cut in travel times and less pollution.</p>","The project involves the construction of new motorway in Eastern Slovenia, running from Draženci to the international border crossing at Gruškovje. As part of the EU’s TEN-T network Baltic-Adriatic corridor investment, this section of motorway will help improve the connectivity between Slovenia, Croatia and Austria, as well as between Slovenia’s various urban centres. Slovenia is one of the most central countries in the Alpine-Adriatic region, situated where the Alpine world passes into the open Pannonian Plain on one side and opens up to the Adriatic Sea on the other.",Republic of Slovenia Government Office for Development and European Cohesion Policy,,"DARS d.d. - Motorway Company in the Republic of Slovenia, Ulica XIV. divizije 4",3000,Celje,SI,46.3909417,15.8447237,,1420066800 to 1514761200,1420066800 to 1514761200,http://www.svrk.gov.si,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/new-motorway-means-a-more-connected-slovenia"">New motorway means a more connected Slovenia</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion fund,Transport,"Jobs, Growth and Investment",63528966,203694259,DG REGIO,English
7762,4020,"Tram refurbishment brings transport and tourist benefits to Szczecin, Poland",,,"<p>The extensive redevelopment of parts of the tram network in the Polish city of Szczecin – made possible thanks to the EU funding – will bring long term benefits to citizens and commuters living and working in the area. The project has successfully strengthened transport links within the city, and adapted lines to accommodate new low-floor trams that provide greater comfort and access to disabled passengers and those with reduced mobility.</p>","This ambitious project involved the redevelopment of sections of tram track in the west of the city, including the upgrading and extension of overhead contact lines and light signalling boxes. This work was carried out in order to adapt infrastructure to the requirements of new rolling low-floor tram cars. In total, just over 9.3 km of track has been completely redeveloped, while an additional 0.617 km of tram and trolleybus track was added. This will enable the city’s tram network to carry an additional 366 414 passengers every year.",Ministerstwo Infrastruktury i Rozwoju,,"Gmina Miasto Szczecin, Plac Armii Krajowej 1",70-456,Szczecin,PL,53.4285438,14.5528116,,1293836400 to 1420066800,1293836400 to 1420066800,,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/tram-refurbishment-brings-transport-and-tourist-benefits-to-szczecin-poland"">Tram refurbishment brings transport and tourist benefits to Szczecin Poland</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Cohesion Fund,Environment & climate;Transport,"Jobs, Growth and Investment",41743757,64178003,DG REGIO,English
7763,4021,e-Schools project to increase ICT use in Croatia's education system,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/e-schools-project-to-increase-ict-use-in-croatia-s-education-system.jpg,"<p>The e-Schools project aims to increase information and communication technology (ICT) use in primary and secondary education in Croatia by providing ICT equipment and educational tools for schools and teachers. This will enhance teachers' professional development, improve the quality of education and increase students' employability.</p>","e-Schools seeks to provide a more systematic approach to the way ICT is introduced into schools in Croatia. To do this, the partners have designed a concept recognising that access to adequate equipment and ultra-fast internet is just the first step; improved ICT use in schools requires higher levels of digital competence among teachers, provided through constant support and professional development. Organisational, technological and educational concepts for introducing ICT into the educational and business processes of 10 % of Croatian schools are being piloted for 3 year ending in 2018.",Ministry of Regional Development and EU Funds,,"CARNet – Croatian Academic and Research Network, Josipa Marohnića 5",HR-10000,Zagreb,HR,45.7924358,15.9694131,,1420066800 to 1514761200,1420066800 to 1514761200,https://www.carnet.hr/en,"<a href=""http://ec.europa.eu/regional_policy/en/projects/europe/e-schools-project-to-increase-ict-use-in-croatia-s-education-system"">e-Schools project to increase ICT use in Croatia's education system</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Competitiveness (More developed regions),Employment;Education & training;Investment for growth;Information and communications technology - ICT;Citizens and social dialogue,"Jobs, Growth and Investment",34000000,40000000,DG REGIO,English
